Sample,PWM,Motor Speed (RPM)
5892,80,23.04
5893,80,23.04
5894,80,23.04
5895,80,23.96
5896,80,22.12
5897,80,23.96
5898,80,22.12
5899,80,23.96
5900,80,22.12
5901,80,23.96
5902,80,22.12
5903,80,23.96
5904,80,23.04
5905,80,23.04
5906,80,23.04
5907,80,23.04
5908,80,23.04
5909,80,23.04
5910,80,23.96
5911,80,22.12
5912,80,23.96
5913,80,22.12
5914,80,23.96
5915,80,22.12
5916,80,23.96
5917,80,23.04
5918,80,23.04
5919,80,23.04
5920,80,23.04
5921,80,23.96
5922,80,22.12
5923,80,23.96
5924,80,22.12
5925,80,23.96
5926,80,22.12
5927,80,23.96
5928,80,23.04
5929,80,23.04
5930,80,23.04
5931,80,23.04
5932,80,23.96
5933,80,22.12
5934,80,23.96
5935,80,22.12
5936,80,23.96
5937,80,22.12
5938,80,23.96
5939,80,22.12
5940,80,23.96
5941,80,23.04
5942,80,23.04
5943,80,23.04
5944,80,23.04
5945,80,23.96
5946,80,22.12
5947,80,23.96
5948,80,22.12
5949,80,23.96
5950,80,23.04
5951,80,23.04
5952,80,23.04
5953,80,23.04
5954,80,23.96
5955,80,22.12
5956,80,23.96
5957,80,22.12
5958,80,23.96
5959,80,22.12
5960,80,23.96
5961,80,22.12
5962,80,23.96
5963,80,23.04
5964,80,23.04
5965,80,23.04
5966,80,23.04
5967,80,23.96
5968,80,22.12
5969,80,23.96
5970,80,22.12
5971,80,23.96
5972,80,22.12
5973,80,23.96
5974,80,23.04
5975,80,23.04
5976,80,23.96
5977,80,22.12
5978,80,23.96
5979,80,22.12
5980,80,23.96
5981,80,22.12
5982,80,23.96
5983,80,23.04
5984,80,23.04
5985,80,23.96
5986,80,22.12
5987,80,23.96
5988,80,22.12
5989,80,23.96
5990,80,23.04
5991,80,23.04
5992,80,23.04
5993,80,23.04
5994,80,23.96
5995,80,22.12
5996,80,23.96
5997,80,22.12
5998,80,23.96
5999,80,23.04
6000,80,23.04
6001,80,23.04
6002,80,23.04
6003,80,23.96
6004,80,22.12
6005,80,23.96
6006,80,22.12
6007,80,23.96
6008,80,23.04
6009,80,23.04
6010,80,23.96
6011,80,22.12
6012,80,23.96
6013,80,22.12
6014,80,23.96
6015,80,22.12
6016,80,23.96
6017,80,23.04
6018,80,23.04
6019,80,23.96
6020,80,22.12
6021,80,23.96
6022,80,22.12
6023,80,23.96
6024,80,22.12
6025,80,23.96
6026,80,23.04
6027,80,23.04
6028,80,23.04
6029,80,23.04
6030,80,23.96
6031,80,22.12
6032,80,23.96
6033,80,22.12
6034,80,23.96
6035,80,23.04
6036,80,23.04
6037,80,23.04
6038,80,23.04
6039,80,23.96
6040,80,22.12
6041,80,23.96
6042,80,22.12
6043,80,23.96
6044,80,23.04
6045,80,23.04
6046,80,23.04
6047,80,23.04
6048,80,23.96
6049,80,22.12
6050,80,23.96
6051,80,22.12
6052,80,23.96
6053,80,23.04
6054,80,23.04
6055,80,23.04
6056,80,23.04
6057,80,23.96
6058,80,22.12
6059,80,23.96
6060,80,22.12
6061,80,23.96
6062,80,23.04
6063,80,23.04
6064,80,23.04
6065,80,23.04
6066,80,23.96
6067,80,22.12
6068,80,23.96
6069,80,22.12
6070,80,23.96
6071,80,23.04
6072,80,23.04
6073,80,23.04
6074,80,23.04
6075,80,23.96
6076,80,22.12
6077,80,23.96
6078,80,22.12
6079,80,23.96
6080,80,23.04
6081,80,23.04
6082,80,23.96
6083,80,22.12
