Sample,PWM,Motor Speed (RPM),Filtered Motor Speed (RPM)
433,80,22.12,23.35
434,80,23.96,22.73
435,80,22.12,23.35
436,80,23.96,22.73
437,80,22.12,23.35
438,80,23.96,22.73
439,80,22.12,23.35
440,80,23.96,22.73
441,80,22.12,23.35
442,80,23.96,23.04
443,80,23.04,23.35
444,80,23.04,23.04
445,80,23.04,23.04
446,80,23.04,23.04
447,80,23.04,23.04
448,80,23.04,23.35
449,80,23.96,23.04
450,80,22.12,23.35
451,80,23.96,22.73
452,80,22.12,23.35
453,80,23.96,22.73
454,80,22.12,23.35
455,80,23.96,22.73
456,80,22.12,23.35
457,80,23.96,23.04
458,80,23.04,23.35
459,80,23.04,23.04
460,80,23.04,23.04
461,80,23.04,23.35
462,80,23.96,23.04
463,80,22.12,23.35
464,80,23.96,22.73
465,80,22.12,23.35
466,80,23.96,22.73
467,80,22.12,23.35
468,80,23.96,23.04
469,80,23.04,23.35
470,80,23.04,23.04
471,80,23.04,23.04
472,80,23.04,23.04
473,80,23.04,23.04
474,80,23.04,23.04
475,80,23.04,23.04
476,80,23.04,23.04
477,80,23.04,23.04
478,80,23.04,23.04
479,80,23.04,23.04
480,80,23.04,23.04
481,80,23.04,23.04
482,80,23.04,23.04
483,80,23.04,23.04
484,80,23.04,23.04
485,80,23.04,23.04
486,80,23.04,23.04
487,80,23.04,23.04
488,80,23.04,23.35
489,80,23.96,23.04
490,80,22.12,23.35
491,80,23.96,22.73
492,80,22.12,23.35
493,80,23.96,22.73
494,80,22.12,23.35
495,80,23.96,23.04
496,80,23.04,23.35
497,80,23.04,23.04
498,80,23.04,23.04
499,80,23.04,23.35
500,80,23.96,23.04
501,80,22.12,23.35
502,80,23.96,
